time_s,reference_position_m,current_position_m
0.020136,0.000000,0.000000
0.030364,0.000000,0.000000
0.040142,0.000000,0.000000
0.050082,0.000000,0.000000
0.060130,0.000000,0.000000
0.070134,0.000000,0.000000
0.080439,0.000000,0.000000
0.090133,0.000000,0.000000
0.100079,0.000000,0.000000
0.110187,0.000000,0.000000
0.120089,0.000000,0.000000
0.130224,0.000000,0.000000
0.140432,0.000000,0.000000
0.150096,0.000000,0.000000
0.160132,0.000000,0.000000
0.170033,0.000000,0.000000
0.180141,0.000000,0.000000
0.190068,0.000000,0.000000
0.200095,0.000000,0.000000
0.210128,0.000000,0.000000
0.220130,0.000000,0.000000
0.230091,0.000000,0.000000
0.240157,0.000000,0.000000
0.250056,0.000000,0.000000
0.260134,0.000000,0.000000
0.270099,0.000000,0.000000
0.280096,0.000000,0.000000
0.290146,0.000000,0.000000
0.300071,0.000000,0.000000
0.310139,0.000000,0.000000
0.320122,0.000000,0.000000
0.330139,0.000000,0.000000
0.340084,0.000000,0.000000
0.351111,0.000000,0.000000
0.360129,0.000000,0.000000
0.370408,0.000000,0.000000
0.380342,0.000000,0.000000
0.390173,0.000000,0.000000
0.400091,0.000000,0.000000
0.410131,0.000000,0.000000
0.420159,0.000000,0.000000
0.430128,0.000000,0.000000
0.440139,0.000000,0.000000
0.450096,0.000000,0.000000
0.460223,0.000000,0.000000
0.470110,0.000000,0.000000
0.480294,0.000000,0.000000
0.490132,0.000000,0.000000
0.500073,0.000000,0.000000
0.510115,0.000000,0.000000
0.520346,0.000000,0.000000
0.530176,0.000000,0.000000
0.540107,0.000000,0.000000
0.550119,0.000000,0.000000
0.560259,0.000000,0.000000
0.570216,0.000000,0.000000
0.580246,0.000000,0.000000
0.590289,0.000000,0.000000
0.600283,0.000000,0.000000
0.610135,0.000000,0.000000
0.620145,0.000000,0.000000
0.630201,0.000000,0.000000
0.640093,0.000000,0.000000
0.650284,0.000000,0.000000
0.660462,0.000000,0.000000
